Id,Label,Type
#Ignazio1,Ignazio Florio,person
#nipoteIgn,Vittoria,person
#Ignazio1,Ignazio Florio,person
#nipoteIgn,Vittoria,person
#Paolo,Paolo Florio,person
#Vincenzo1,Vincenzo Florio,person
#mogliePaolo,Giuseppina Saffiotti Florio,person
#Ignazio1,Ignazio Florio,person
#Paolo,Paolo Florio,person
#mogliePaolo,Giuseppina Saffiotti Florio,person
#Vincenzo1,Vincenzo Florio,person
#Ignazio1,Ignazio Florio,person
#Paolo,Paolo Florio,person
#Ignazio1,Ignazio Florio,person
#nipoteIgn,Vittoria,person
#nipoteIgn,Vittoria,person
#Paolo,Paolo Florio,person
#Ignazio1,Ignazio Florio,person
#Ignazio1,Ignazio Florio,person
#nipoteIgn,Vittoria,person
#mogliePaolo,Giuseppina Saffiotti Florio,person
#Paolo,Paolo Florio,person
#mogliePaolo,Giuseppina Saffiotti Florio,person
#Paolo,Paolo Florio,person
#Vincenzo1,Vincenzo Florio,person
#mogliePaolo,Giuseppina Saffiotti Florio,person
#nipoteIgn,Vittoria,person
#mogliePaolo,Giuseppina Saffiotti Florio,person
#Ignazio1,Ignazio Florio,person
#nipoteIgn,Vittoria,person
#Ignazio1,Ignazio Florio,person
#nipoteIgn,Vittoria,person
#Ignazio1,Ignazio Florio,person
#Ignazio1,Ignazio Florio,person
#nipoteIgn,Vittoria,person
#fratIgn,Francesco,person
#Paolo,Paolo Florio,person
#mogliePaolo,Giuseppina Saffiotti Florio,person
#nipoteIgn,Vittoria,person
#mogliePaolo,Giuseppina Saffiotti Florio,person
#nipoteIgn,Vittoria,person
#mogliePaolo,Giuseppina Saffiotti Florio,person
#Paolo,Paolo Florio,person
#Paolo,Paolo Florio,person
#Ignazio1,Ignazio Florio,person
#Paolo,Paolo Florio,person
#Ignazio1,Ignazio Florio,person
#Paolo,Paolo Florio,person
#Ignazio1,Ignazio Florio,person
#Paolo,Paolo Florio,person
#mogliePaolo,Giuseppina Saffiotti Florio,person
#Paolo,Paolo Florio,person
#Ignazio1,Ignazio Florio,person
#nipoteIgn,Vittoria,person
#mogliePaolo,Giuseppina Saffiotti Florio,person
#Vincenzo1,Vincenzo Florio,person
#mogliePaolo,Giuseppina Saffiotti Florio,person
#mogliePaolo,Giuseppina Saffiotti Florio,person
#Paolo,Paolo Florio,person
#mogliePaolo,Giuseppina Saffiotti Florio,person
#Ignazio1,Ignazio Florio,person
#Paolo,Paolo Florio,person
#nipoteIgn,Vittoria,person
#mogliePaolo,Giuseppina Saffiotti Florio,person
#Ignazio1,Ignazio Florio,person
#Paolo,Paolo Florio,person
#nipoteIgn,Vittoria,person
#mogliePaolo,Giuseppina Saffiotti Florio,person
#Ignazio1,Ignazio Florio,person
#Paolo,Paolo Florio,person
#nipoteIgn,Vittoria,person
#mogliePaolo,Giuseppina Saffiotti Florio,person
#mogliePaolo,Giuseppina Saffiotti Florio,person
#mogliePaolo,Giuseppina Saffiotti Florio,person
#Vincenzo1,Vincenzo Florio,person
#Ignazio1,Ignazio Florio,person
#madreIgn1,Rosa Bellantoni,person
#madreIgn1,Rosa Bellantoni,person
#Ignazio1,Ignazio Florio,person
#madreIgn1,Rosa Bellantoni,person
#mogliePaolo,Giuseppina Saffiotti Florio,person
#Ignazio1,Ignazio Florio,person
#mogliePaolo,Giuseppina Saffiotti Florio,person
#Paolo,Paolo Florio,person
#mogliePaolo,Giuseppina Saffiotti Florio,person
#madreGiuseppina,Giovanna Saffiotti,person
#padreGiuseppina,Vincenzo Saffiotti ,person
#madreIgn1,Rosa Bellantoni,person
#bagnaroti,bagnaroti,person
#Ignazio1,Ignazio Florio,person
#mogliePaolo,Giuseppina Saffiotti Florio,person
#mogliePaolo,Giuseppina Saffiotti Florio,person
#Ignazio1,Ignazio Florio,person
#Ignazio1,Ignazio Florio,person
#MattiaBarbaro,Mattia Florio Barbaro,person
#PaoloBarbaro,Paolo Barbaro,person
#Paolo,Paolo Florio,person
#Ignazio1,Ignazio Florio,person
#Paolo,Paolo Florio,person
#Ignazio1,Ignazio Florio,person
#Ignazio1,Ignazio Florio,person
#PaoloBarbaro,Paolo Barbaro,person
#MattiaBarbaro,Mattia Florio Barbaro,person
#MattiaBarbaro,Mattia Florio Barbaro,person
#figliaMattia,Anna Barbaro,person
#RaffaeleBarbaro,Raffaele Barbaro,person
#Ignazio1,Ignazio Florio,person
#Paolo,Paolo Florio,person
#Vincenzo1,Vincenzo Florio,person
#nipoteIgn,Vittoria,person
#mogliePaolo,Giuseppina Saffiotti Florio,person
#Paolo,Paolo Florio,person
#PaoloBarbaro,Paolo Barbaro,person
#MattiaBarbaro,Mattia Florio Barbaro,person
#Ignazio1,Ignazio Florio,person
#Ignazio1,Ignazio Florio,person
#Paolo,Paolo Florio,person
#PaoloBarbaro,Paolo Barbaro,person
#MattiaBarbaro,Mattia Florio Barbaro,person
#PaoloBarbaro,Paolo Barbaro,person
#MattiaBarbaro,Mattia Florio Barbaro,person
#Ignazio1,Ignazio Florio,person
#PaoloBarbaro,Paolo Barbaro,person
#Ignazio1,Ignazio Florio,person
#MattiaBarbaro,Mattia Florio Barbaro,person
#PaoloBarbaro,Paolo Barbaro,person
#Ignazio1,Ignazio Florio,person
#PaoloBarbaro,Paolo Barbaro,person
#Paolo,Paolo Florio,person
#PaoloBarbaro,Paolo Barbaro,person
#PaoloBarbaro,Paolo Barbaro,person
#Paolo,Paolo Florio,person
#Paolo,Paolo Florio,person
#Ignazio1,Ignazio Florio,person
#Ignazio1,Ignazio Florio,person
#PaoloBarbaro,Paolo Barbaro,person
#Ignazio1,Ignazio Florio,person
#Luigi16,Luigi XVI di Borbone,person
#MariaAntonietta,Maria Antonietta,person
#Ferdinando,Ferdinando di Borbone-Due Sicilie,person
#MariaCarolina,Maria Carolina d'Asburgo-Lorena,person
#inglesi,gli inglesi,person
#Paolo,Paolo Florio,person
#Ignazio1,Ignazio Florio,person
#Paolo,Paolo Florio,person
