Source,Target
#Bagnara,#Bagnara
#ContrPietra,#ContrPietra
#Ignazio1,#Ignazio1
#nipoteIgn,#nipoteIgn
#casaBagnara,#casaBagnara
#Ignazio1,#Ignazio1
#Ignazio1,#nipoteIgn
#Paolo,#Paolo
#Paolo,#Vincenzo1
#Paolo,#mogliePaolo
#Ignazio1,#Ignazio1
#Paolo,#Paolo
#Paolo,#mogliePaolo
#Paolo,#Vincenzo1
#scialle,#scialle
#Ignazio1,#Ignazio1
#Ignazio1,#Paolo
#Ignazio1,#Ignazio1
#Ignazio1,#nipoteIgn
#Ignazio1,#nipoteIgn
#Paolo,#Paolo
#Ignazio1,#Ignazio1
#Ignazio1,#Ignazio1
#nipoteIgn,#nipoteIgn
#mogliePaolo,#mogliePaolo
#mogliePaolo,#Paolo
#mogliePaolo,#mogliePaolo
#mogliePaolo,#Paolo
#Vincenzo1,#Vincenzo1
#mogliePaolo,#mogliePaolo
#mogliePaolo,#nipoteIgn
#mogliePaolo,#mogliePaolo
#mogliePaolo,#Ignazio1
#nipoteIgn,#nipoteIgn
#nipoteIgn,#Ignazio1
#nipoteIgn,#nipoteIgn
#nipoteIgn,#Ignazio1
#nipoteIgn,#Ignazio1
#nipoteIgn,#nipoteIgn
#nipoteIgn,#fratIgn
#nipoteIgn,#Paolo
#nipoteIgn,#mogliePaolo
#nipoteIgn,#nipoteIgn
#nipoteIgn,#mogliePaolo
#nipoteIgn,#nipoteIgn
#nipoteIgn,#mogliePaolo
#nipoteIgn,#Paolo
#nipoteIgn,#Paolo
#Ignazio1,#Ignazio1
#Ignazio1,#Paolo
#Ignazio1,#Ignazio1
#Ignazio1,#Paolo
#Ignazio1,#Ignazio1
#Ignazio1,#Paolo
#Ignazio1,#mogliePaolo
#Paolo,#Paolo
#Paolo,#casaBagnara
#Ignazio1,#Ignazio1
#Ignazio1,#nipoteIgn
#Ignazio1,#mogliePaolo
#Ignazio1,#Vincenzo1
#Ignazio1,#mogliePaolo
#mogliePaolo,#mogliePaolo
#mogliePaolo,#Paolo
#mogliePaolo,#casaBagnara
#fedenuziale,#fedenuziale
#mogliePaolo,#mogliePaolo
#mogliePaolo,#scialle
#Ignazio1,#Ignazio1
#Ignazio1,#Paolo
#Ignazio1,#nipoteIgn
#Ignazio1,#scialle
#mogliePaolo,#mogliePaolo
#Ignazio1,#Ignazio1
#Paolo,#Paolo
#nipoteIgn,#nipoteIgn
#nipoteIgn,#mogliePaolo
#Ignazio1,#Ignazio1
#Paolo,#Paolo
#nipoteIgn,#nipoteIgn
#nipoteIgn,#mogliePaolo
#mogliePaolo,#mogliePaolo
#mogliePaolo,#mogliePaolo
#mogliePaolo,#Vincenzo1
#Ignazio1,#Ignazio1
#Ignazio1,#casaBagnara
#madreIgn1,#madreIgn1
#madreIgn1,#madreIgn1
#madreIgn1,#Ignazio1
#madreIgn1,#madreIgn1
#madreIgn1,#Bagnara
#madreIgn1,#Calabria
#madreIgn1,#Sicilia
#madreIgn1,#Bagnara
#mogliePaolo,#mogliePaolo
#Ignazio1,#Ignazio1
#Ignazio1,#mogliePaolo
#Paolo,#Paolo
#Paolo,#mogliePaolo
#Paolo,#madreGiuseppina
#Paolo,#padreGiuseppina
#Paolo,#madreIgn1
#Paolo,#bagnaroti
#Ignazio1,#Ignazio1
#Ignazio1,#mogliePaolo
#Ignazio1,#mogliePaolo
#Ignazio1,#Ignazio1
#Ignazio1,#Ignazio1
#Ignazio1,#MattiaBarbaro
#Ignazio1,#PaoloBarbaro
#Ignazio1,#Bagnara
#Paolo,#Paolo
#Paolo,#Ignazio1
#Paolo,#Paolo
#Ignazio1,#Ignazio1
#Ignazio1,#Bagnara
#ContrPietra,#ContrPietra
#Ignazio1,#Ignazio1
#ContrGranaro,#ContrGranaro
#PaoloBarbaro,#PaoloBarbaro
#PaoloBarbaro,#MattiaBarbaro
#MattiaBarbaro,#MattiaBarbaro
#MattiaBarbaro,#figliaMattia
#MattiaBarbaro,#RaffaeleBarbaro
#Ignazio1,#Ignazio1
#Paolo,#Paolo
#Paolo,#Vincenzo1
#Paolo,#nipoteIgn
#Paolo,#mogliePaolo
#Paolo,#Paolo
#PaoloBarbaro,#PaoloBarbaro
#MattiaBarbaro,#MattiaBarbaro
#MattiaBarbaro,#Ignazio1
#Ignazio1,#Ignazio1
#Paolo,#Paolo
#Paolo,#PaoloBarbaro
#Paolo,#MattiaBarbaro
#PaoloBarbaro,#PaoloBarbaro
#MattiaBarbaro,#MattiaBarbaro
#MattiaBarbaro,#Ignazio1
#PaoloBarbaro,#PaoloBarbaro
#Ignazio1,#Ignazio1
#Ignazio1,#MattiaBarbaro
#PaoloBarbaro,#PaoloBarbaro
#Ignazio1,#Ignazio1
#capoMarturano,#capoMarturano
#PaoloBarbaro,#PaoloBarbaro
#Paolo,#Paolo
#Paolo,#PaoloBarbaro
#Paolo,#schifazzoFB
