Source,Target
#mogliePaolo,#mogliePaolo
#mogliePaolo,#Vincenzo1
#Vincenzo1,#Vincenzo1
#mogliePaolo,#mogliePaolo
#Olimpia,#Olimpia
#Olimpia,#Vincenzo1
#Olimpia,#mogliePaolo
#mogliePaolo,#mogliePaolo
#mogliePaolo,#Vincenzo1
#mogliePaolo,#mogliePaolo
#mogliePaolo,#Vincenzo1
#Vincenzo1,#Vincenzo1
#Vincenzo1,#IgnazioMessina
#Vincenzo1,#cala
#Vincenzo1,#drogheria
#Vincenzo1,#Vincenzo1
#Vincenzo1,#IgnazioMessina
#Vincenzo1,#Vincenzo1
#Vincenzo1,#Anna
#pirati,#pirati
#pirati,#Brasile
#IgnazioMessina,#IgnazioMessina
#IgnazioMessina,#pirati
#Vincenzo1,#Vincenzo1
#Vincenzo1,#pirati
#Vincenzo1,#Anna
#Miloro,#Miloro
#Miloro,#IgnazioMessina
#Miloro,#Vincenzo1
#Miloro,#Brasile
#Miloro,#Miloro
#Miloro,#Vincenzo1
#Miloro,#americani
#Miloro,#Ben
#Miloro,#USA
#IgnazioMessina,#IgnazioMessina
#IgnazioMessina,#Palermo
#Vincenzo1,#Vincenzo1
#Vincenzo1,#Ignazio1
#Vincenzo1,#fedenuziale
#IgnazioMessina,#IgnazioMessina
#IgnazioMessina,#Vincenzo1
#tonnaraArenella,#tonnaraArenella
#Ignazio1,#Ignazio1
#Ignazio1,#Vincenzo1
#Ignazio1,#palermitani
#Ignazio1,#Palermo
#Ignazio1,#casaFlorio
#Ignazio1,#tonnaraSNic
#Ignazio1,#tonnaraMaria
#Ignazio1,#tonnaraFemmine
#Vincenzo1,#Vincenzo1
#Vincenzo1,#Ignazio1
#Vincenzo1,#tonnaraArenella
#Ignazio1,#Ignazio1
#Vincenzo1,#Vincenzo1
#Vincenzo1,#tonnaraArenella
#IgnazioMessina,#IgnazioMessina
#IgnazioMessina,#Vincenzo1
#Vincenzo1,#Vincenzo1
#Vincenzo1,#IgnazioMessina
#barone,#barone
#barone,#IgnazioMessina
#barone,#barone
#barone,#Vincenzo1
#barone,#tonnaraArenella
#barone,#barone
#barone,#tonnaraArenella
#Vincenzo1,#Vincenzo1
#Vincenzo1,#IgnazioMessina
#Vincenzo1,#Vincenzo1
#Vincenzo1,#IgnazioMessina
#Vincenzo1,#barone
#barone,#barone
