Id,Label,Type
#mogliePaolo,Giuseppina Saffiotti Florio,person
#Vincenzo1,Vincenzo Florio,person
#Vincenzo1,Vincenzo Florio,person
#mogliePaolo,Giuseppina Saffiotti Florio,person
#Olimpia,Olimpia,person
#Vincenzo1,Vincenzo Florio,person
#mogliePaolo,Giuseppina Saffiotti Florio,person
#mogliePaolo,Giuseppina Saffiotti Florio,person
#Vincenzo1,Vincenzo Florio,person
#mogliePaolo,Giuseppina Saffiotti Florio,person
#Vincenzo1,Vincenzo Florio,person
#Vincenzo1,Vincenzo Florio,person
#IgnazioMessina,Ignazio Messina,person
#Vincenzo1,Vincenzo Florio,person
#IgnazioMessina,Ignazio Messina,person
#Vincenzo1,Vincenzo Florio,person
#pirati,pirati,person
#IgnazioMessina,Ignazio Messina,person
#pirati,pirati,person
#Vincenzo1,Vincenzo Florio,person
#pirati,pirati,person
#Miloro,comandante Miloro,person
#IgnazioMessina,Ignazio Messina,person
#Vincenzo1,Vincenzo Florio,person
#Miloro,comandante Miloro,person
#Vincenzo1,Vincenzo Florio,person
#americani,gli americani,person
#Ben,Benjamin Ingham,person
#IgnazioMessina,Ignazio Messina,person
#Vincenzo1,Vincenzo Florio,person
#Ignazio1,Ignazio Florio,person
#IgnazioMessina,Ignazio Messina,person
#Vincenzo1,Vincenzo Florio,person
#Ignazio1,Ignazio Florio,person
#Vincenzo1,Vincenzo Florio,person
#palermitani,i palermitani,person
#Vincenzo1,Vincenzo Florio,person
#Ignazio1,Ignazio Florio,person
#Ignazio1,Ignazio Florio,person
#Vincenzo1,Vincenzo Florio,person
#IgnazioMessina,Ignazio Messina,person
#Vincenzo1,Vincenzo Florio,person
#Vincenzo1,Vincenzo Florio,person
#IgnazioMessina,Ignazio Messina,person
#barone,Mercurio Nasca di Montemaggiore,person
#IgnazioMessina,Ignazio Messina,person
#barone,Mercurio Nasca di Montemaggiore,person
#Vincenzo1,Vincenzo Florio,person
#barone,Mercurio Nasca di Montemaggiore,person
#Vincenzo1,Vincenzo Florio,person
#IgnazioMessina,Ignazio Messina,person
#Vincenzo1,Vincenzo Florio,person
#IgnazioMessina,Ignazio Messina,person
#barone,Mercurio Nasca di Montemaggiore,person
#barone,Mercurio Nasca di Montemaggiore,person
#servitore,servitore,person
#factotum,factotum,person
#barone,Mercurio Nasca di Montemaggiore,person
#Vincenzo1,Vincenzo Florio,person
#Vincenzo1,Vincenzo Florio,person
#IgnazioMessina,Ignazio Messina,person
#Vincenzo1,Vincenzo Florio,person
#factotum,factotum,person
#barone,Mercurio Nasca di Montemaggiore,person
#Vincenzo1,Vincenzo Florio,person
#barone,Mercurio Nasca di Montemaggiore,person
#barone,Mercurio Nasca di Montemaggiore,person
#Vincenzo1,Vincenzo Florio,person
#IgnazioMessina,Ignazio Messina,person
#factotum,factotum,person
#barone,Mercurio Nasca di Montemaggiore,person
#IgnazioMessina,Ignazio Messina,person
#IgnazioMessina,Ignazio Messina,person
#barone,Mercurio Nasca di Montemaggiore,person
#Vincenzo1,Vincenzo Florio,person
#IgnazioMessina,Ignazio Messina,person
#IgnazioMessina,Ignazio Messina,person
#barone,Mercurio Nasca di Montemaggiore,person
#Vincenzo1,Vincenzo Florio,person
#factotum,factotum,person
#factotum,factotum,person
#IgnazioMessina,Ignazio Messina,person
#Vincenzo1,Vincenzo Florio,person
#notaioTamajo,notaio Michele Tamajo,person
#Vincenzo1,Vincenzo Florio,person
#barone,Mercurio Nasca di Montemaggiore,person
#Vincenzo1,Vincenzo Florio,person
#notaioTamajo,notaio Michele Tamajo,person
#barone,Mercurio Nasca di Montemaggiore,person
#barone,Mercurio Nasca di Montemaggiore,person
#Vincenzo1,Vincenzo Florio,person
#Vincenzo1,Vincenzo Florio,person
#barone,Mercurio Nasca di Montemaggiore,person
#Vincenzo1,Vincenzo Florio,person
#notaioTamajo,notaio Michele Tamajo,person
#barone,Mercurio Nasca di Montemaggiore,person
#barone,Mercurio Nasca di Montemaggiore,person
#barone,Mercurio Nasca di Montemaggiore,person
#Vincenzo1,Vincenzo Florio,person
#IgnazioMessina,Ignazio Messina,person
#factotum,factotum,person
#IgnazioMessina,Ignazio Messina,person
#Vincenzo1,Vincenzo Florio,person
#barone,Mercurio Nasca di Montemaggiore,person
#Vincenzo1,Vincenzo Florio,person
#barone,Mercurio Nasca di Montemaggiore,person
#Vincenzo1,Vincenzo Florio,person
#barone,Mercurio Nasca di Montemaggiore,person
#mogliePaolo,Giuseppina Saffiotti Florio,person
#Vincenzo1,Vincenzo Florio,person
#PeppeC,Giuseppe Calabrese,person
#Vincenzo1,Vincenzo Florio,person
#mogliePaolo,Giuseppina Saffiotti Florio,person
#cameriere,le cameriere,person
#Vincenzo1,Vincenzo Florio,person
#mogliePaolo,Giuseppina Saffiotti Florio,person
#mogliePaolo,Giuseppina Saffiotti Florio,person
#Vincenzo1,Vincenzo Florio,person
#Vincenzo1,Vincenzo Florio,person
#mogliePaolo,Giuseppina Saffiotti Florio,person
#Vincenzo1,Vincenzo Florio,person
#mogliePaolo,Giuseppina Saffiotti Florio,person
#Vincenzo1,Vincenzo Florio,person
#Vincenzo1,Vincenzo Florio,person
#mogliePaolo,Giuseppina Saffiotti Florio,person
#Ignazio1,Ignazio Florio,person
#Vincenzo1,Vincenzo Florio,person
#mogliePaolo,Giuseppina Saffiotti Florio,person
#Vincenzo1,Vincenzo Florio,person
#Ignazio1,Ignazio Florio,person
#Vincenzo1,Vincenzo Florio,person
#mogliePaolo,Giuseppina Saffiotti Florio,person
#Vincenzo1,Vincenzo Florio,person
#Olimpia,Olimpia,person
#mogliePaolo,Giuseppina Saffiotti Florio,person
#Vincenzo1,Vincenzo Florio,person
